Table,Type,Offenses,,
Table A,Serious felonies,136.1,,
Table A,Serious felonies,210.5,,
Table A,Serious felonies,244,,
Table A,Serious felonies,245.2,,
Table A,Serious felonies,245.3,,
Table A,Serious felonies,246,,
Table A,Serious felonies,246.3,,
Table A,Serious felonies,262,,
Table A,Serious felonies,422,,
Table A,Serious felonies,451,,
Table A,Serious felonies,451.5,,
Table A,Serious felonies,455,,
Table A,Serious felonies,459,,
Table A,Serious felonies,487,,
Table A,Serious felonies,2800.3,,
Table A,Serious felonies,4500,,
Table A,Serious felonies,4501,,
Table A,Serious felonies,4503,,
Table A,Serious felonies,11370.4,,
Table A,Serious felonies,11380,,
Table A,Serious felonies,12303.3,,
Table A,Serious felonies,18710,,
Table A,Serious felonies,23153,,
Table A,Serious felonies,11353(c),,
Table A,Serious felonies,12022(b),,
Table A,Serious felonies,12034(c),,
Table A,Serious felonies,12034(d),,
Table A,Serious felonies,136.1(a),,
Table A,Serious felonies,136.1(b),,
Table A,Serious felonies,136.1(b)/ATT,,
Table A,Serious felonies,136.1(c),,
Table A,Serious felonies,1768.8(b),,
Table A,Serious felonies,186.22(a),,
Table A,Serious felonies,191.5(c),,
Table A,Serious felonies,191.5(c)(1),,
Table A,Serious felonies,192.5(a),,
Table A,Serious felonies,192(c)(3),,
Table A,Serious felonies,23104(b),,
Table A,Serious felonies,243(d),,
Table A,Serious felonies,245.5(a),,
Table A,Serious felonies,245.5(b),,
Table A,Serious felonies,245.5(c),,
Table A,Serious felonies,245(a)(1),,
Table A,Serious felonies,245(a)(2),,
Table A,Serious felonies,245(c),,
Table A,Serious felonies,245(d)(1),,
Table A,Serious felonies,245(d)(2),,
Table A,Serious felonies,247(a),,
Table A,Serious felonies,247(b),,
Table A,Serious felonies,26100(b),,
Table A,Serious felonies,26100(c),,
Table A,Serious felonies,451(d),,
Table B,Violent felonies,187,,
Table B,Violent felonies,190.05,,
Table B,Violent felonies,190.25,,
Table B,Violent felonies,190.26,,
Table B,Violent felonies,203,,
Table B,Violent felonies,205,,
Table B,Violent felonies,206,,
Table B,Violent felonies,207,,
Table B,Violent felonies,208,,
Table B,Violent felonies,209,,
Table B,Violent felonies,209.5,,
Table B,Violent felonies,211,,
Table B,Violent felonies,212,,
Table B,Violent felonies,212.5,,
Table B,Violent felonies,213.5,,
Table B,Violent felonies,215,,
Table B,Violent felonies,220,,
Table B,Violent felonies,264.1,,
Table B,Violent felonies,269,,
Table B,Violent felonies,288.5,,
Table B,Violent felonies,451.5,,
Table B,Violent felonies,12022.5,,
Table B,Violent felonies,12022.53,,
Table B,Violent felonies,12022.55,,
Table B,Violent felonies,12022.7,,
Table B,Violent felonies,12022.9,,
Table B,Violent felonies,12308,,
Table B,Violent felonies,12309,,
Table B,Violent felonies,18745,,
Table B,Violent felonies,18750,,
Table B,Violent felonies,18755,,
Table B,Violent felonies,120228,,
Table B,Violent felonies,11418(b),,
Table B,Violent felonies,11418(c),,
Table B,Violent felonies,12022.3(a),,
Table B,Violent felonies,12301(a),,
Table B,Violent felonies,12301(b),,
Table B,Violent felonies,187(664),,
Table B,Violent felonies,192(a),,
Table B,Violent felonies,207(a),,
Table B,Violent felonies,208(a),,
Table B,Violent felonies,208(b),,
Table B,Violent felonies,209.5(a),,
Table B,Violent felonies,209(a),,
Table B,Violent felonies,209(b),,
Table B,Violent felonies,209(b)(1),,
Table B,Violent felonies,209(b)(664),,
Table B,Violent felonies,212.5(a),,
Table B,Violent felonies,212.5(b),,
Table B,Violent felonies,212.5(b)/ATT,,
Table B,Violent felonies,212.5(c),,
Table B,Violent felonies,212.5(c)/ATT,,
Table B,Violent felonies,213(a),,
Table B,Violent felonies,217.1(b),,
Table B,Violent felonies,261(a)(2),,
Table B,Violent felonies,261(a)(6),,
Table B,Violent felonies,262(a)(1),,
Table B,Violent felonies,262(a)(4),,
Table B,Violent felonies,273ab(b),,
Table B,Violent felonies,273ab(a),,
Table B,Violent felonies,273ab,,
Table B,Violent felonies,286(c)(1),,
Table B,Violent felonies,286(c)(2)(A),,
Table B,Violent felonies,286(c)(2)(B),,
Table B,Violent felonies,286(c)(2)(C),,
Table B,Violent felonies,286(c)(2)(D),,
Table B,Violent felonies,286(c)(3),,
Table B,Violent felonies,286(d),,
Table B,Violent felonies,288(a),,
Table B,Violent felonies,288(b),,
Table B,Violent felonies,288a(c),,
Table B,Violent felonies,288a(d),,
Table B,Violent felonies,289(a),,
Table B,Violent felonies,289(a)(1),,
Table B,Violent felonies,289(a)(2),,
Table B,Violent felonies,289(j),,
Table B,Violent felonies,451(a),,
Table B,Violent felonies,451(b),,
Table B,Violent felonies,451(c),,
Table B,Violent felonies,245(a)(4),,
Table B,Violent felonies,452(a),,
Table C,Super strike offenses,187,,
Table C,Super strike offenses,191.5,,
Table C,Super strike offenses,264.1,,
Table C,Super strike offenses,269,,
Table C,Super strike offenses,11418(a)(1),,
Table C,Super strike offenses,245(d)(3),,
Table C,Super strike offenses,261(a)(2),,
Table C,Super strike offenses,261(a)(6),,
Table C,Super strike offenses,262(a)(2),,
Table C,Super strike offenses,262(a)(4),,
Table C,Super strike offenses,286(c)(1),,
Table C,Super strike offenses,286(c)(2)(A),,
Table C,Super strike offenses,286(c)(2)(B),,
Table C,Super strike offenses,286(c)(2)(C),,
Table C,Super strike offenses,286(c)(3),,
Table C,Super strike offenses,286(d)(1),,
Table C,Super strike offenses,286(d)(2),,
Table C,Super strike offenses,286(d)(3),,
Table C,Super strike offenses,288.5(a),,
Table C,Super strike offenses,288(a),,
Table C,Super strike offenses,288(b)(1),,
Table C,Super strike offenses,288(b)(2),,
Table C,Super strike offenses,288a(c)(1),,
Table C,Super strike offenses,288a(c)(2)(A),,
Table C,Super strike offenses,288a(c)(2)(B),,
Table C,Super strike offenses,288a(c)(2)(C),,
Table C,Super strike offenses,288a(d),,
Table C,Super strike offenses,289(a)(1)(A),,
Table C,Super strike offenses,289(a)(1)(B),,
Table C,Super strike offenses,289(a)(1)(C),,
Table C,Super strike offenses,289(a)(2)(C),,
Table C,Super strike offenses,289(j),,
Table C,Super strike offenses,653f,,
Table D,Registrable sex offenses,243.4,,
Table D,Registrable sex offenses,261.2,,
Table D,Registrable sex offenses,261.3,,
Table D,Registrable sex offenses,261.4,,
Table D,Registrable sex offenses,264.1,,
Table D,Registrable sex offenses,266,,
Table D,Registrable sex offenses,267,,
Table D,Registrable sex offenses,269,,
Table D,Registrable sex offenses,272,,
Table D,Registrable sex offenses,285,,
Table D,Registrable sex offenses,286,,
Table D,Registrable sex offenses,288,,
Table D,Registrable sex offenses,288.2,,
Table D,Registrable sex offenses,288.5,,
Table D,Registrable sex offenses,289,,
Table D,Registrable sex offenses,311.1,,
Table D,Registrable sex offenses,311.11,,
Table D,Registrable sex offenses,311.3,,
Table D,Registrable sex offenses,314.1,,
Table D,Registrable sex offenses,314.2,,
Table D,Registrable sex offenses,647.6,,
Table D,Registrable sex offenses,702,,
Table D,Registrable sex offenses,5512,,
Table D,Registrable sex offenses,6316,,
Table D,Registrable sex offenses,243.4(a),,
Table D,Registrable sex offenses,243.4(b),,
Table D,Registrable sex offenses,243.4(c),,
Table D,Registrable sex offenses,243.4(d),,
Table D,Registrable sex offenses,243.4(d)(1),,
Table D,Registrable sex offenses,261 Rape,,
Table D,Registrable sex offenses,261(1),,
Table D,Registrable sex offenses,261(2),,
Table D,Registrable sex offenses,261(3),,
Table D,Registrable sex offenses,261(4),,
Table D,Registrable sex offenses,261(6),,
Table D,Registrable sex offenses,261(a)(1),,
Table D,Registrable sex offenses,261(a)(2),,
Table D,Registrable sex offenses,261(a)(3),,
Table D,Registrable sex offenses,261(a)(4),,
Table D,Registrable sex offenses,261(a)(6),,
Table D,Registrable sex offenses,262(a)(1),,
Table D,Registrable sex offenses,266c,,
Table D,Registrable sex offenses,266h(b),,
Table D,Registrable sex offenses,266i(b),,
Table D,Registrable sex offenses,266j,,
Table D,Registrable sex offenses,269(a),,
Table D,Registrable sex offenses,269(a)(1),,
Table D,Registrable sex offenses,269(a)(2),,
Table D,Registrable sex offenses,269(a)(3),,
Table D,Registrable sex offenses,269(a)(4),,
Table D,Registrable sex offenses,269(a)(5),,
Table D,Registrable sex offenses,269(b),,
Table D,Registrable sex offenses,286(a),,
Table D,Registrable sex offenses,286(b)(1),,
Table D,Registrable sex offenses,286(b)(2),,
Table D,Registrable sex offenses,286(c),,
Table D,Registrable sex offenses,286(c)(1),,
Table D,Registrable sex offenses,286(c)(2),,
Table D,Registrable sex offenses,286(c)(3),,
Table D,Registrable sex offenses,286(d),,
Table D,Registrable sex offenses,286(e),,
Table D,Registrable sex offenses,286(f),,
Table D,Registrable sex offenses,286(g),,
Table D,Registrable sex offenses,286(h),,
Table D,Registrable sex offenses,286(i),,
Table D,Registrable sex offenses,286(j),,
Table D,Registrable sex offenses,286(k),,
Table D,Registrable sex offenses,288.2(a),,
Table D,Registrable sex offenses,288.2(b),,
Table D,Registrable sex offenses,288.5(a),,
Table D,Registrable sex offenses,288(a),,
Table D,Registrable sex offenses,288(b)(1),,
Table D,Registrable sex offenses,288(b)(2),,
Table D,Registrable sex offenses,288(c)(1),,
Table D,Registrable sex offenses,288(c)(2),,
Table D,Registrable sex offenses,288a,,
Table D,Registrable sex offenses,288a(a),,
Table D,Registrable sex offenses,288a(b)(1),,
Table D,Registrable sex offenses,288a(b)(2),,
Table D,Registrable sex offenses,288a(c),,
Table D,Registrable sex offenses,288a(c)(1),,
Table D,Registrable sex offenses,288a(c)(2),,
Table D,Registrable sex offenses,288a(c)(3),,
Table D,Registrable sex offenses,288a(d),,
Table D,Registrable sex offenses,288a(d)(1),,
Table D,Registrable sex offenses,288a(d)(2),,
Table D,Registrable sex offenses,288a(d)(3),,
Table D,Registrable sex offenses,288a(e),,
Table D,Registrable sex offenses,288a(f),,
Table D,Registrable sex offenses,288a(f)(1),,
Table D,Registrable sex offenses,288a(f)(2),,
Table D,Registrable sex offenses,288a(f)(3),,
Table D,Registrable sex offenses,288a(g),,
Table D,Registrable sex offenses,288a(h),,
Table D,Registrable sex offenses,288a(i),,
Table D,Registrable sex offenses,288a(j),,
Table D,Registrable sex offenses,288a(k),,
Table D,Registrable sex offenses,289(a),,
Table D,Registrable sex offenses,289(a)(1),,
Table D,Registrable sex offenses,289(a)(2),,
Table D,Registrable sex offenses,289(b),,
Table D,Registrable sex offenses,289(c),,
Table D,Registrable sex offenses,289(d),,
Table D,Registrable sex offenses,289(d)(1),,
Table D,Registrable sex offenses,289(d)(2),,
Table D,Registrable sex offenses,289(d)(3),,
Table D,Registrable sex offenses,289(e),,
Table D,Registrable sex offenses,289(f),,
Table D,Registrable sex offenses,289(g),,
Table D,Registrable sex offenses,289(h),,
Table D,Registrable sex offenses,289(i),,
Table D,Registrable sex offenses,289(j),,
Table D,Registrable sex offenses,311.10(a),,
Table D,Registrable sex offenses,311.11(a),,
Table D,Registrable sex offenses,311.11(b),,
Table D,Registrable sex offenses,311.2(b),,
Table D,Registrable sex offenses,311.2(c),,
Table D,Registrable sex offenses,311.2(d),,
Table D,Registrable sex offenses,311.3(a),,
Table D,Registrable sex offenses,311.3(b),,
Table D,Registrable sex offenses,311.3(b)(1),,
Table D,Registrable sex offenses,311.3(b)(2),,
Table D,Registrable sex offenses,311.3(b)(3),,
Table D,Registrable sex offenses,311.3(b)(4),,
Table D,Registrable sex offenses,311.3(b)(5),,
Table D,Registrable sex offenses,311.3(b)(6),,
Table D,Registrable sex offenses,311.3(d),,
Table D,Registrable sex offenses,311.4,,
Table D,Registrable sex offenses,311.4(a),,
Table D,Registrable sex offenses,311.4(b),,
Table D,Registrable sex offenses,311.4(c),,
Table D,Registrable sex offenses,653f(c),,
Table D,Registrable sex offenses,290(g)(2),,
Table D,Registrable sex offenses,290(g)(3),,
Table D,Registrable sex offenses,290.018(b),,
Table D,Registrable sex offenses,288.7(b),,
Table D,Registrable sex offenses,288.7(a),,
Table D,Registrable sex offenses,288.4(b),,
Table D,Registrable sex offenses,288.4(a)(2),,
Table D,Registrable sex offenses,288.2(a)(1),,
Table D,Registrable sex offenses,288.2(a)(2),,
Table D,Registrable sex offenses,288(c),,
Table E,Homicide offenses,187,,
Table E,Homicide offenses,190.03,,
Table E,Homicide offenses,190.05,,
Table E,Homicide offenses,190.25,,
Table E,Homicide offenses,190.26,,
Table E,Homicide offenses,191.5,,
Table F,Robbery offenses,211,,
Table F,Robbery offenses,212,,
Table F,Robbery offenses,212.5,,
Table F,Robbery offenses,213,,
Table F,Robbery offenses,213.5,,
Table F,Robbery offenses,211A,,
